Date,Time,milisecond,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,
2019-5-15,13h0m4s,365ms,27.3815,29.0986,1.31075,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m4s,552ms,27.3815,29.0986,1.31075,1372,2.22019,400,0.00315862,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m4s,739ms,27.3815,29.0986,1.31075,1372,2.22019,400,0.00315862,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m4s,927ms,27.3815,29.0986,1.31075,1372,2.22019,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m5s,114ms,27.3815,29.0986,1.31075,1372,2.22019,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m5s,301ms,27.3815,29.0986,1.32296,1372,2.22019,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m5s,488ms,27.3815,29.0986,1.32296,1372,2.20493,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m5s,675ms,27.3815,29.0986,1.32296,1372,2.20493,400,0.00318914,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m5s,863ms,27.3815,29.0986,1.32296,1372,2.20493,400,0.00318914,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m6s,50ms,27.3815,29.0986,1.32296,1372,2.20493,400,0.00318914,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m6s,237ms,27.3815,28.9911,1.32296,1372,2.20493,400,0.00318914,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m6s,424ms,27.3815,28.9911,1.31075,1372,2.20493,400,0.00318914,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m6s,611ms,27.3815,28.9911,1.31075,1372,2.11337,400,0.00318914,1000,0.00438697,1768,20,1820,
2019-5-15,13h0m6s,799ms,27.3815,28.9911,1.31075,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m6s,986ms,27.3815,28.9911,1.31075,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m7s,173ms,27.3815,28.9911,1.31075,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m7s,360ms,27.3815,28.9911,1.30159,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m7s,547ms,27.3815,28.9911,1.30159,1372,2.18967,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m7s,735ms,27.3815,28.9911,1.30159,1372,2.18967,400,0.00315862,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m7s,922ms,27.3815,28.9911,1.30159,1372,2.18967,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m8s,109ms,27.3815,28.9911,1.30159,1372,2.18967,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m8s,296ms,27.3815,29.0986,1.33211,1372,2.18967,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m8s,483ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m8s,671ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00337224,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m8s,858ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m9s,45ms,27.3815,29.0986,1.33211,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m9s,232ms,27.4817,29.1847,1.3077,1372,2.12863,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m9s,419ms,27.4817,29.1847,1.3077,1372,2.22019,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m9s,607ms,27.4817,29.1847,1.3077,1372,2.22019,400,0.00315862,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m9s,794ms,27.4817,29.1847,1.3077,1372,2.22019,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m9s,981ms,27.4817,29.1847,1.3077,1372,2.22019,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m10s,168ms,27.3815,29.1847,1.3077,1372,2.22019,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m10s,355ms,27.3815,29.1847,1.32906,1372,2.11337,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m10s,543ms,27.3815,29.1847,1.32906,1372,2.11337,400,0.00337224,1000,0.00453956,1768,20,1820,
2019-5-15,13h0m10s,730ms,27.3815,29.1847,1.32906,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m10s,917ms,27.3815,29.1847,1.32906,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m11s,104ms,27.3815,29.1847,1.32906,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
2019-5-15,13h0m11s,291ms,27.3815,29.1847,1.31685,1372,2.11337,400,0.00337224,1000,0.00431067,1768,20,1820,
