Date,Time,milisecond,Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,
2019-5-16,9h58m48s,894ms,25.4773,27.7862,1.32296,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m49s,81ms,25.4773,27.7862,1.32296,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m49s,268ms,25.6778,27.7862,1.32296,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m49s,456ms,25.6778,27.7862,1.29549,1372,2.09812,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m49s,643ms,25.6778,27.7862,1.29549,1372,2.08286,400,0.00331121,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m49s,830ms,25.6778,27.7862,1.29549,1372,2.08286,400,0.00321965,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m50s,17ms,25.6778,27.7862,1.29549,1372,2.08286,400,0.00321965,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m50s,204ms,25.6778,27.7862,1.29549,1372,2.08286,400,0.00321965,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m50s,392ms,25.5775,27.7862,1.29549,1372,2.08286,400,0.00321965,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m50s,579ms,25.5775,27.7862,1.32601,1372,2.11337,400,0.00321965,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m50s,766ms,25.5775,27.7862,1.32601,1372,2.11337,400,0.00334173,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m50s,953ms,25.5775,27.7862,1.32601,1372,2.11337,400,0.00334173,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m51s,140ms,25.5775,27.7862,1.32601,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m51s,328ms,25.4773,27.7862,1.32601,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m51s,515ms,25.4773,27.7862,1.29549,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m51s,702ms,25.4773,27.7862,1.29549,1372,2.12863,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m51s,889ms,25.4773,27.7862,1.29549,1372,2.12863,400,0.00315862,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m52s,76ms,25.4773,27.7862,1.29549,1372,2.12863,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m52s,264ms,25.4773,27.7862,1.29549,1372,2.12863,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m52s,451ms,25.4773,27.8938,1.32601,1372,2.12863,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m52s,638ms,25.4773,27.8938,1.32601,1372,2.11337,400,0.00315862,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m52s,825ms,25.4773,27.8938,1.32601,1372,2.11337,400,0.0031281,1000,0.00453956,1768,20,1820,
2019-5-16,9h58m53s,12ms,25.4773,27.8938,1.32601,1372,2.11337,400,0.0031281,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m53s,200ms,25.4773,27.8938,1.32601,1372,2.11337,400,0.0031281,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m53s,387ms,25.5775,27.7862,1.29549,1372,2.11337,400,0.0031281,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m53s,574ms,25.5775,27.7862,1.29549,1372,2.17441,400,0.0031281,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m53s,761ms,25.5775,27.7862,1.29549,1372,2.17441,400,0.0031281,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m53s,948ms,25.5775,27.7862,1.29549,1372,2.17441,400,0.0031281,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m54s,136ms,25.5775,27.7862,1.29549,1372,2.17441,400,0.0031281,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m54s,323ms,25.5775,27.7862,1.29549,1372,2.17441,400,0.0031281,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m54s,510ms,25.5775,27.7862,1.29854,1372,2.05234,400,0.0031281,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m54s,697ms,25.5775,27.7862,1.29854,1372,2.05234,400,0.0031281,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m54s,884ms,25.5775,27.7862,1.29854,1372,2.05234,400,0.00325017,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m55s,72ms,25.5775,27.7862,1.29854,1372,2.05234,400,0.00325017,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m55s,259ms,25.5775,27.7862,1.29854,1372,2.05234,400,0.00325017,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m55s,446ms,25.5775,27.7862,1.32906,1372,2.05234,400,0.00325017,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m55s,633ms,25.5775,27.7862,1.32906,1372,2.11337,400,0.00325017,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m55s,820ms,25.5775,27.7862,1.32906,1372,2.11337,400,0.00334173,1000,0.00446326,1768,20,1820,
2019-5-16,9h58m56s,8ms,25.5775,27.7862,1.32906,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m56s,195ms,25.5775,27.7862,1.32906,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m56s,382ms,25.5775,27.7862,1.32906,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m56s,569ms,25.5775,27.7862,1.29549,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
2019-5-16,9h58m56s,756ms,25.5775,27.7862,1.29549,1372,2.11337,400,0.00334173,1000,0.00423438,1768,20,1820,
